题号,名称,完成日期,难度,思路,,,题量全球排名,竞赛全国排名,竞赛全球排名
719,找出第 K 小的数对距离,2022/6/16,困难,二分法,隐藏二分法的例子,,,,
532,数组中的 k-diff 数对,2022/6/16,中等,哈希,个人解法：二分法，不如哈希的性能,,,,
1089,复写零,2022/6/17,简单,字符串,,,18867,,
剑指 Offer II 029,排序的循环链表,2022/6/18,中等,链表操作,,,,,
,兼具大小写的最好英文字母,2022/6/19,简单,,,,,,
,个位数字为 K 的整数之和,2022/6/19,中等,,,,,,
,小于等于 K 的最长二进制子序列,2022/6/19,中等,,,,,,
,卖木头块,2022/6/19,困难,,,,,,
715,Range 模块,,困难,线段树,,,,,
1108,IP 地址无效化,2022/6/21,简单,,,,,,
剑指 Offer II 091,粉刷房子,2022/6/25,中等,DP,,,,,
,统计星号,2022/6/25,简单,,,,,,
,统计无向图中无法互相到达点对数,2022/6/26,困难,DFS,"可以用DFS快速计算出每棵树的大小
个人解法想到并查集，但没有算出来，还有再看看",,,,
,操作后的最大异或和,2022/6/26,中等,数学,,"from functools import reduce
reduce(function, iterable[, initializer])",,,
,判断矩阵是否是一个 X 矩阵,2022/6/26,简单,,,,,,
,统计放置房子的方式数,2022/6/26,中等,DP,,,,,
,拼接数组的最大分数,2022/6/26,中等,DP,,,,,
710,黑名单中的随机数,2022/6/26,困难,数学,,"dict.get(key[, value]) 指定默认值
返回指定键的值，如果键不在字典中返回默认值 None 或者设置的默认值。",,,
535,TinyURL 的加密与解密,2022/6/29,中等,,,,,,
1175,质数排列,2022/6/30,简单,排列组合,,,17557,2184,5462
871,最低加油次数,2022/7/2,困难,贪心算法,,heappush heappop方法，可以构建小顶堆,,,
